12700.000000,1590.000000,1172.000000
12700.000000,1576.000000,1157.000000
12700.000000,1362.000000,1146.000000
12700.000000,1565.000000,1142.000000
12700.000000,1551.000000,1127.000000
12700.000000,1529.000000,1106.000000
12700.000000,1442.000000,1021.000000
12700.000000,1414.000000,988.000000
12700.000000,1380.000000,958.000000
12700.000000,1320.000000,894.000000
12700.000000,1297.000000,864.000000
12700.000000,1276.000000,843.000000
12700.000000,1276.000000,843.000000
12700.000000,1233.000000,803.000000
12700.000000,1207.000000,778.000000
12700.000000,1106.000000,686.000000
12700.000000,1016.000000,622.000000
12700.000000,993.000000,592.000000
12700.000000,978.000000,579.000000
12700.000000,938.000000,558.000000
12700.000000,926.000000,516.000000
12700.000000,869.000000,477.000000
12700.000000,869.000000,477.000000
12700.000000,766.000000,425.000000
12600.000000,1638.000000,1205.000000
12600.000000,1379.000000,1204.000000
12600.000000,372.000000,1132.000000
12600.000000,1350.000000,1121.000000
12600.000000,1508.000000,1083.000000
12600.000000,1469.000000,1046.000000
12600.000000,970.000000,731.000000
12600.000000,1147.000000,722.000000
12600.000000,472.000000,694.000000
12600.000000,1053.000000,646.000000
12600.000000,655.000000,508.000000
12600.000000,747.000000,442.000000
12600.000000,814.000000,354.000000
12600.000000,860.000000,294.000000
12566.666667,1268.000000,627.000000
12562.500000,1252.000000,634.000000
12558.333333,855.000000,503.000000
12556.000000,1628.000000,1177.000000
12552.000000,1267.000000,622.000000
12525.000000,851.000000,470.000000
12500.000000,308.000000,1192.000000
12500.000000,62.000000,1110.000000
12500.000000,1484.000000,1060.000000
12500.000000,1355.000000,928.000000
12500.000000,1209.000000,919.000000
12500.000000,1143.000000,901.000000
12500.000000,1260.000000,828.000000
12500.000000,1030.000000,782.000000
12500.000000,1166.000000,738.000000
12500.000000,437.000000,724.000000
12500.000000,1130.000000,708.000000
12500.000000,488.000000,679.000000
12500.000000,1090.000000,665.000000
12500.000000,508.000000,657.000000
12500.000000,856.000000,588.000000
12500.000000,864.000000,502.000000
12500.000000,891.000000,262.000000
12500.000000,935.000000,214.000000
12500.000000,978.000000,168.000000
12500.000000,1039.000000,102.000000
12500.000000,1080.000000,60.000000
12500.000000,1119.000000,17.000000
12492.000000,961.000000,572.000000
12484.000000,1261.000000,616.000000
12400.000000,1394.000000,1207.000000
12400.000000,1379.000000,1162.000000
12400.000000,2.000000,1159.000000
12400.000000,16.000000,1147.000000
12400.000000,431.000000,1068.000000
12400.000000,1428.000000,1006.000000
12400.000000,322.000000,844.000000
12400.000000,1147.000000,842.000000
12400.000000,385.000000,776.000000
12400.000000,1101.000000,760.000000
12400.000000,406.000000,756.000000
12400.000000,806.000000,681.000000
12400.000000,821.000000,662.000000
12400.000000,1038.000000,638.000000
12400.000000,544.000000,619.000000
12400.000000,584.000000,578.000000
12400.000000,614.000000,543.000000
12400.000000,636.000000,523.000000
12400.000000,718.000000,462.000000
12400.000000,800.000000,376.000000
12400.000000,840.000000,316.000000
12400.000000,876.000000,278.000000
12400.000000,950.000000,198.000000
12400.000000,999.000000,146.000000
12400.000000,1017.000000,126.000000
12400.000000,1094.000000,45.000000
12388.888889,1055.000000,643.000000
12304.347826,944.000000,573.000000
12300.000000,81.000000,1094.000000
12300.000000,484.000000,971.000000
12300.000000,1195.000000,964.000000
12300.000000,284.000000,883.000000
12300.000000,307.000000,860.000000
12300.000000,1079.000000,820.000000
12300.000000,1063.000000,805.000000
12300.000000,1193.000000,761.000000
12300.000000,524.000000,640.000000
12300.000000,936.000000,537.000000
12300.000000,905.000000,246.000000
12300.000000,1060.000000,80.000000
12200.000000,217.000000,952.000000
12200.000000,263.000000,905.000000
12200.000000,1220.000000,887.000000
12200.000000,341.000000,822.000000
12200.000000,457.000000,707.000000
12200.000000,598.000000,563.000000
12200.000000,675.000000,494.000000
12132.000000,1297.000000,840.000000
12131.578947,211.000000,1190.000000
12100.000000,101.000000,1075.000000
12100.000000,356.000000,805.000000
12100.000000,703.000000,734.000000
12080.000000,232.000000,1170.000000
12063.157895,258.000000,1143.000000
12047.368421,188.000000,1212.000000
12032.000000,1307.000000,829.000000
12021.052632,273.000000,1130.000000
12020.000000,1314.000000,824.000000
12015.789474,329.000000,1072.000000
12015.789474,414.000000,983.000000
12006.666667,837.000000,557.000000
12000.000000,115.000000,1060.000000
12000.000000,134.000000,1039.000000
12000.000000,155.000000,1018.000000
12000.000000,232.000000,936.000000
11993.333333,376.000000,1024.000000
11973.333333,302.000000,1103.000000
11966.666667,789.000000,406.000000
11946.666667,809.000000,587.000000
11909.090909,445.000000,951.000000
11900.000000,191.000000,980.000000
11873.333333,350.000000,1051.000000
11873.333333,470.000000,927.000000
11864.000000,1265.000000,506.000000
11864.000000,1265.000000,506.000000
11864.000000,1265.000000,506.000000
11863.157895,498.000000,899.000000
11860.000000,1244.000000,536.000000
11840.000000,704.000000,695.000000
11831.818182,788.000000,608.000000
11826.315789,672.000000,725.000000
11800.000000,172.000000,1000.000000
11778.947368,635.000000,761.000000
11763.157895,721.000000,679.000000
11740.000000,1266.000000,498.000000
11680.000000,538.000000,858.000000
11663.636364,606.000000,789.000000
11650.000000,573.000000,821.000000
11641.666667,829.000000,340.000000
11635.714286,1135.000000,3.000000
11556.000000,1287.000000,826.000000
11545.833333,517.000000,877.000000
11524.000000,1234.000000,600.000000
11504.000000,1316.000000,804.000000
11504.000000,1316.000000,804.000000
11492.000000,1174.000000,720.000000
11490.909091,740.000000,659.000000
11468.000000,1249.000000,589.000000
